id,Attrition
1677,0.32263763107098836
1678,0.12510251873658507
1679,0.018649417920359943
1680,0.08126377608060911
1681,0.497634766958173
1682,0.1644204882744963
1683,0.08862044002569339
1684,0.34535548365108615
1685,0.03648678469987814
1686,0.0789983764128864
1687,0.026126865577140758
1688,0.2469194102007224
1689,0.033459876281781965
1690,0.05491121204957483
1691,0.2726738208429803
1692,0.3257436029518104
1693,0.1970845843979046
1694,0.03773593918820996
1695,0.3888973233244704
1696,0.09816312422695411
1697,0.3995080628949023
1698,0.016879433611071533
1699,0.1122018328077701
1700,0.0908086021437057
1701,0.35559955875424915
1702,0.06773517544553158
1703,0.06206902017796111
1704,0.037750817103214145
1705,0.19518018033317852
1706,0.04934574873731522
1707,0.09300738985299761
1708,0.12884294628291867
1709,0.07574323247954334
1710,0.20579065915268313
1711,0.15991862859030193
1712,0.3289383392105403
1713,0.021787551975340807
1714,0.07855530919476877
1715,0.05676444801770919
1716,0.08949095387369202
1717,0.04514132954838776
1718,0.0975954429934381
1719,0.06348026472655997
1720,0.011541400912349724
1721,0.39581849592481827
1722,0.06334062083881875
1723,0.013154481503692785
1724,0.230268967147647
1725,0.07604116325626818
1726,0.048850907133968786
1727,0.019981023712085703
1728,0.15065693571719163
1729,0.03521194728306717
1730,0.01862873623009794
1731,0.027601830198308017
1732,0.2188503511915909
1733,0.04727838648821669
1734,0.06210089312281843
1735,0.08412292025589091
1736,0.08521029270080224
1737,0.05635745814181852
1738,0.08319751144600794
1739,0.048682014437682344
1740,0.016126848869274815
1741,0.047559345255100076
1742,0.057747389739646236
1743,0.21691510208878337
1744,0.031570522749173734
1745,0.03339773511648393
1746,0.00461043700752788
1747,0.17096271067461344
1748,0.03489659401422848
1749,0.05922766941053436
1750,0.25328680494840766
1751,0.3318430519451127
1752,0.02959325216128427
1753,0.05011809244197628
1754,0.31066140863409963
1755,0.020171774761755985
1756,0.19897300894696168
1757,0.007760159148228261
1758,0.02199883709742144
1759,0.040497219380934625
1760,0.05092773338432735
1761,0.031259677625795325
1762,0.038726171246206365
1763,0.01620633846166832
1764,0.07246965149312168
1765,0.0755922306937035
1766,0.11375409831999747
1767,0.03835921814905563
1768,0.5283158772889005
1769,0.32251909608215235
1770,0.12437477504589325
1771,0.09815310413772108
1772,0.007730417252231614
1773,0.12789776503004893
1774,0.11912572805352074
1775,0.055063133726196166
1776,0.00827396912299315
1777,0.0832912617846926
1778,0.471496646207092
1779,0.08630049806262563
1780,0.09026054223286892
1781,0.013927789949144245
1782,0.021017741110640302
1783,0.07441681551374008
1784,0.27437573310959573
1785,0.28449160258355455
1786,0.13431443905948998
1787,0.14680357932991717
1788,0.11657800575897487
1789,0.08791497098382843
1790,0.12771148958890488
1791,0.3086610446673862
1792,0.03236879375592694
1793,0.6530652834478627
1794,0.04393092794487456
1795,0.06324781812595981
1796,0.2063589976681704
1797,0.06199769804897508
1798,0.08065676805169476
1799,0.022681014582185726
1800,0.05915083337131238
1801,0.09048462375252413
1802,0.24519716287196192
1803,0.06063211525439329
1804,0.08469757390963256
1805,0.4822229504797242
1806,0.0725078502276122
1807,0.1161569426654831
1808,0.22094586810872827
1809,0.20044234808041594
1810,0.09901050785560744
1811,0.02204086771549731
1812,0.28175037899386546
1813,0.4108044495121138
1814,0.05547171021735713
1815,0.11165603660687834
1816,0.41492822057645634
1817,0.03034266144431763
1818,0.1576586461751045
1819,0.016327570829975324
1820,0.01809071614973287
1821,0.14145244976607807
1822,0.10319796437835824
1823,0.015483780029593436
1824,0.334243226654362
1825,0.02574823771177453
1826,0.16769023468264893
1827,0.02623187060462568
1828,0.054899312221279035
1829,0.2012601127497376
1830,0.13270208724362145
1831,0.4515777718054742
1832,0.06692610526011668
1833,0.06200640981363435
1834,0.15073755478522083
